2,3,4,6,8,9,10,12,13
0.0,0.0,0.002,0.021,0.134,0.392,0.857,9.67,28.948
0.0,0.001,0.003,0.028,0.152,0.44,0.914,10.182,31.819
0.0,0.002,0.007,0.054,0.296,0.819,1.86,23.83,69.728

2,3,4,6,8,9,10,12,13
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.001,0.002,0.002,0.003,0.005,0.006

2,3,4,6,8,9,10,12,13
20,68,260,1988,11028,31764,62868,625364,1878308
16,40,172,1564,9756,28764,57272,485980,1287880
16,40,172,1468,7940,23492,39044,289396,1041112

2,3,4,6,8,9,10,12,13
3,6,7,9,15,16,21,23,25
2,3,4,6,8,9,10,12,13
2,3,4,6,8,9,10,12,13